RACE,Population Percentage,State
1,68.86056706191361,Alabama
2,26.77455158311616,Alabama
3,0.7158628507284557,Alabama
4,1.588693288684775,Alabama
5,0.1094930212979298,Alabama
6,1.9508321942590656,Alabama
1,64.08286451567172,Alaska
2,3.6583454087676515,Alaska
3,15.702926594536677,Alaska
4,6.729299888356191,Alaska
5,1.6724760524712268,Alaska
6,8.154087540196542,Alaska
1,81.86478769354864,Arizona
2,5.54400160778411,Arizona
3,5.159693374154816,Arizona
4,3.9316246052388597,Arizona
5,0.291675844524885,Arizona
6,3.208216874748699,Arizona
1,78.53398156116438,Arkansas
2,15.63804222236596,Arkansas
3,1.0922509806651286,Arkansas
4,1.845952094750622,Arkansas
5,0.4716583099036425,Arkansas
6,2.418114831150265,Arkansas
1,70.73479486279835,California
2,6.487316645000062,California
3,1.7237492756091046,California
4,16.263986720555014,California
5,0.522140496245107,California
6,4.268011999792361,California
1,86.17992762237056,Colorado
2,4.742628588101972,Colorado
3,1.6751582126211872,Colorado
4,3.7547222344940674,Colorado
5,0.22265693092686448,Colorado
6,3.424906411485351,Colorado
1,78.35980039738514,Connecticut
2,12.88291754051412,Connecticut
3,0.7365551589057983,Connecticut
4,5.172652952604721,Connecticut
5,0.11455502377830266,Connecticut
6,2.733518926811915,Connecticut
1,67.99967792489366,Delaware
2,23.783479118142647,Delaware
3,0.7046374887568294,Delaware
4,4.368634597936363,Delaware
5,0.11518112796986633,Delaware
6,3.0283897423006376,Delaware
1,46.24748624224661,District of Columbia
2,45.03820316372508,District of Columbia
3,0.6978236179356151,District of Columbia
4,4.668035123391828,District of Columbia
5,0.1677575122468938,District of Columbia
6,3.1806943404539725,District of Columbia
1,76.80281834564384,Florida
2,16.962760279099545,Florida
3,0.5484961602077032,Florida
4,3.1346349665268183,Florida
5,0.12623611345435296,Florida
6,2.4250541350677413,Florida
1,58.98246255157669,Georgia
2,33.1126551790747,Georgia
3,0.5534379754704443,Georgia
4,4.773846967563821,Georgia
5,0.13693915334509435,Georgia
6,2.4406581729692522,Georgia
1,25.222955764354296,Hawaii
2,2.1883132573621924,Hawaii
3,0.3978625131579313,Hawaii
4,37.133417951445495,Hawaii
5,10.33498218298065,Hawaii
6,24.72246833069943,Hawaii
1,92.62333338318636,Idaho
2,0.9737843553977679,Idaho
3,1.711574790114454,Idaho
4,1.6607762735342824,Idaho
5,0.23413732515124808,Idaho
6,2.7963938726158863,Idaho
1,76.0815582093576,Illinois
2,14.715206573946084,Illinois
3,0.6304704995186787,Illinois
4,6.259982489314922,Illinois
5,0.06834349173488034,Illinois
6,2.244438736127837,Illinois
1,83.95891899897512,Indiana
2,10.306324991361821,Indiana
3,0.4439021770261159,Indiana
4,2.8218931055107705,Indiana
5,0.07554473947675097,Indiana
6,2.3934159876494157,Indiana
1,89.82495640548073,Iowa
2,4.411099831683444,Iowa
3,0.593154168529647,Iowa
4,2.76983374873497,Iowa
5,0.2306502355713155,Iowa
6,2.1703056099998843,Iowa
1,85.85390599731032,Kansas
2,6.218817561241339,Kansas
3,1.231670156444172,Kansas
4,3.221354033672097,Kansas
5,0.15137122721005056,Kansas
6,3.3228810241220232,Kansas
1,86.87599034640793,Kentucky
2,8.66531776407206,Kentucky
3,0.32154262450939763,Kentucky
4,1.7590546748782774,Kentucky
5,0.11657000516365232,Kentucky
6,2.2615245849686745,Kentucky
1,62.50096672484081,Louisiana
